Day,Month,Year,Valor COLCAP,Variacion absoluta,Variacion porcentual
30,4,2010,1467.26,-1.96,-0.001334
3,5,2010,1490.16,22.9,0.015607
4,5,2010,1481.63,-8.53,-0.005724
5,5,2010,1446.55,-35.08,-0.023677
6,5,2010,1403.06,-43.49,-0.030065
7,5,2010,1412.8,9.74,0.006942
10,5,2010,1438.18,25.38,0.017964
11,5,2010,1442.63,4.45,0.003094
12,5,2010,1451.06,8.43,0.005843
13,5,2010,1454.93,3.87,0.002667
14,5,2010,1444.27,-10.66,-0.007327
18,5,2010,1424.49,-19.78,-0.013696
19,5,2010,1406.37,-18.12,-0.01272
20,5,2010,1395.99,-10.38,-0.007381
21,5,2010,1397.39,1.4,0.001003
24,5,2010,1410.93,13.54,0.009689
25,5,2010,1399.25,-11.68,-0.008278
26,5,2010,1432.82,33.57,0.023991
27,5,2010,1428.47,-4.35,-0.003036
28,5,2010,1446.48,18.01,0.012608
31,5,2010,1444.54,-1.94,-0.001341
1,6,2010,1447.26,2.72,0.001883
2,6,2010,1451.91,4.65,0.003213
3,6,2010,1453.36,1.45,0.000999
4,6,2010,1438.3,-15.06,-0.010362
8,6,2010,1433.27,-5.03,-0.003497
9,6,2010,1445.53,12.26,0.008554
10,6,2010,1446.34,0.81,0.00056
11,6,2010,1448.08,1.74,0.001203
15,6,2010,1450.71,2.63,0.001816
16,6,2010,1461.39,10.68,0.007362
17,6,2010,1460.56,-0.83,-0.000568
18,6,2010,1472.41,11.85,0.008113
21,6,2010,1466.78,-5.63,-0.003824
22,6,2010,1467.67,0.89,0.000607
23,6,2010,1471.95,4.28,0.002916
24,6,2010,1468.73,-3.22,-0.002188
25,6,2010,1475.04,6.31,0.004296
28,6,2010,1472.02,-3.02,-0.002047
29,6,2010,1453.6,-18.42,-0.012513
30,6,2010,1466.78,13.18,0.009067
1,7,2010,1459.01,-7.77,-0.005297
2,7,2010,1455.04,-3.97,-0.002721
6,7,2010,1463.82,8.78,0.006034
7,7,2010,1462.81,1.01,0.00069
8,7,2010,1474.59,11.78,0.008053
9,7,2010,1478.49,3.9,0.002645
12,7,2010,1496.79,18.3,0.012377
13,7,2010,1507.16,10.37,0.006928
14,7,2010,1521.17,14.01,0.009296
15,7,2010,1532.45,11.28,0.007415
16,7,2010,1526.67,-5.78,-0.003772
19,7,2010,1528.75,2.08,0.001362
21,7,2010,1565.5,36.75,0.024039
22,7,2010,1566.33,0.83,0.00053
23,7,2010,1569.86,3.53,0.002254
26,7,2010,1596.49,26.63,0.016963
27,7,2010,1602.61,6.12,0.003833
28,7,2010,1591.33,-11.28,-0.007039
29,7,2010,1562.05,-29.28,-0.0184
30,7,2010,1571.62,9.57,0.006127
2,8,2010,1575.01,3.39,0.002157
3,8,2010,1586.92,11.91,0.007562
4,8,2010,1595.44,8.52,0.005369
5,8,2010,1601.01,5.57,0.003491
6,8,2010,1580.41,-20.6,-0.012867
9,8,2010,1582.51,2.1,0.001329
10,8,2010,1577.34,-5.17,-0.003267
11,8,2010,1558.12,-19.22,-0.012185
12,8,2010,1557.42,-0.7,-0.000449
13,8,2010,1567.78,10.36,0.006652
